ImmunizeMe - All Pts: Patient ID,ImmunizeMe - vaccines: Patient ID,Age in years,Date of birth,First name,NHS number,Sex,Surname,Deduction date,Registration date,ImmunizeMe - vaccines: Vaccination type,Preferred telephone number,ImmunizeMe - vaccines: Event date,ImmunizeMe - vaccines: Event done at ID,Patient Count
8218137,8218137,25,14-Jun-1999,Firstname,1234567917,Male,Surname,,07-Nov-2022,Measles/Mumps/Rubella 1,12345678,12-Jun-2001,5.87E+11,1
8218137,8218137,25,14-Jun-1999,Firstname,1234567918,Male,Surname,,07-Nov-2022,Comirnaty Original/Omicron BA.4-5 COVID-19 Vacc md vials Booster,12345678,22-Sep-2023,FV549,1
12709787,12709787,31,10-Oct-1992,Firstname,1234567919,Male,Surname,,15-Feb-2023,Hepatitis B 20 mcg/ml Booster,12345678,03-Apr-2012,C82078,1
12837234,12837234,25,30-Sep-1998,Firstname,1234567920,Female,Surname,,14-Apr-2023,Cervarix 3,12345678,12-Jun-2012,136530,1
13047516,13047516,84,16-May-1940,Firstname,1234567921,Female,Surname,,12-Jan-1994,Influenza Vaccine 1,12345678,14-Oct-2008,E87750,1
13047516,13047516,84,16-May-1940,Firstname,1234567922,Female,Surname,,12-Jan-1994,Influenza Vaccine 1,12345678,07-Oct-2010,E87750,1
13532669,13532669,30,01-Jul-1994,Firstname,1234567923,Female,Surname,,08-Mar-2021,Human Papillomavirus 2,12345678,08-Jan-2010,8.91E+11,1
14935190,14935190,27,28-Aug-1997,Firstname,1234567924,Female,Surname,,04-Sep-2023,Typhoid 1,12345678,04-Apr-2023,,1
14935190,14935190,27,28-Aug-1997,Firstname,1234567925,Female,Surname,,04-Sep-2023,Twinrix Adult Booster,12345678,15-Apr-2015,J81039,1
14935190,14935190,27,28-Aug-1997,Firstname,1234567926,Female,Surname,,04-Sep-2023,Cervarix 1,12345678,07-Oct-2009,,1
16494758,16494758,24,08-Nov-1999,Firstname,1234567927,Female,Surname,,18-Jul-2024,Measles/Mumps/Rubella 1,12345678,10-Jan-2001,K83066,1
16494758,16494758,24,08-Nov-1999,Firstname,1234567928,Female,Surname,,18-Jul-2024,Avaxim 2,12345678,30-Apr-2019,K83066,1
16494758,16494758,24,08-Nov-1999,Firstname,1234567929,Female,Surname,,18-Jul-2024,Td/IPV 1,12345678,24-Apr-2015,,1
16494758,16494758,24,08-Nov-1999,Firstname,1234567930,Female,Surname,,18-Jul-2024,Gardasil 3,12345678,29-Apr-2013,42739667048,1
33783180,33783180,28,11-May-1996,Firstname,1234567931,Male,Surname,,22-Mar-2024,Typhim VI - Single Dose Single,12345678,17-Jan-2018,L81025,1
35810676,35810676,32,04-Apr-1992,Firstname,1234567932,Male,Surname,,25-Jun-2024,DTaP/IPV/Hib 2,12345678,04-Aug-1992,,1
36272043,,48,25-Mar-1976,Firstname,1234567933,Male,Surname,,17-Dec-2021,unknown,12345678,,,1
34691643,34691643,86,06-Oct-1937,Firstname,1234567934,Male,Surname,,22-Jul-2024,Influenza Vaccine 1,12345678,11-Nov-2003,E85004,1
34691643,34691643,86,06-Oct-1937,Firstname,1234567935,Male,Surname,,22-Jul-2024,Cell-based quadrivalent Flu/Vac/SA inj 0.5ml pfs (Seqirus UK Ltd) 1,12345678,12-Sep-2023,E87750,1
37633346,37633346,24,26-Sep-1999,Firstname,1234567936,Male,Surname,,24-Mar-2022,Rabies Vaccine 2,12345678,09-May-2017,,1
42101032,42101032,35,14-Mar-1989,Firstname,1234567937,Female,Surname,,04-Mar-2016,Typhoid 1,12345678,06-Dec-2007,E85018,1
42101032,42101032,35,14-Mar-1989,Firstname,1234567938,Female,Surname,,04-Mar-2016,Hepatitis A 2,12345678,28-May-2008,E85018,1
42394060,42394060,54,04-Sep-1970,Firstname,1234567939,Female,Surname,,06-Sep-2013,Typhoid 1,12345678,05-Dec-1996,E85681,1
2466415,2466415,23,22-Sep-2000,Firstname,1234567940,Male,Surname,,14-Oct-2022,Measles/Mumps/Rubella 1,12345678,10-Dec-2001,C83078,1
1936118,1936118,63,05-Aug-1961,Firstname,1234567941,Female,Surname,,31-Dec-2010,Influenza Vaccine 1,12345678,10-Feb-2012,E87750,1
3686733,3686733,51,21-Jan-1973,Firstname,1234567942,Male,Surname,,18-Feb-2011,Typhoid 1,12345678,04-Mar-2011,E87750,1
3975567,3975567,29,09-Aug-1995,Firstname,1234567943,Female,Surname,,08-Aug-2023,Measles/Mumps/Rubella 1,12345678,08-Oct-1996,,1
3975567,3975567,29,09-Aug-1995,Firstname,1234567944,Female,Surname,,08-Aug-2023,Typhim VI - Single Dose Single,12345678,27-Feb-2024,E87750,1
3975567,3975567,29,09-Aug-1995,Firstname,1234567945,Female,Surname,,08-Aug-2023,Havrix Monodose 1,12345678,27-Feb-2024,E87750,1
10642651,10642651,39,05-Jul-1985,Firstname,1234567946,Male,Surname,,17-Jul-2009,Cholera 1,12345678,01-Jul-1988,C81051,1
9495002,9495002,43,01-Feb-1981,Firstname,1234567947,Female,Surname,,06-Jan-2014,BCG 1,12345678,04-Sep-2007,E87750,1
11723603,11723603,22,21-Apr-2002,Firstname,1234567948,Female,Surname,,02-Aug-2024,Nimenrix 1,12345678,03-Mar-2017,110924,1
11723603,11723603,22,21-Apr-2002,Firstname,1234567949,Female,Surname,,02-Aug-2024,Gardasil 2,12345678,18-May-2016,110924,1
11620049,11620049,34,23-May-1990,Firstname,1234567950,Male,Surname,,07-Nov-2016,Hepatitis A 2,12345678,25-Jan-2000,B82609,1
11620049,11620049,34,23-May-1990,Firstname,1234567951,Male,Surname,,07-Nov-2016,Influenza Vaccine 1,12345678,02-Oct-2003,B82609,1
4291003,4291003,28,13-Jan-1996,Firstname,1234567952,Male,Surname,,08-Oct-2019,Td/IPV 1,12345678,10-Feb-2011,,1
4776545,4776545,27,10-May-1997,Firstname,1234567953,Female,Surname,,14-Apr-2021,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,28-Feb-2003,J83037,1
4776545,4776545,27,10-May-1997,Firstname,1234567954,Female,Surname,,14-Apr-2021,Td/IPV 1,12345678,02-Mar-2012,J83050,1
4776545,4776545,27,10-May-1997,Firstname,1234567955,Female,Surname,,14-Apr-2021,Human Papillomavirus 3,12345678,18-Mar-2010,3.57E+11,1
8068566,8068566,28,13-Sep-1995,Firstname,1234567956,Female,Surname,,19-May-2023,Avaxim 2,12345678,13-Oct-2017,F81068,1
12709787,12709787,31,10-Oct-1992,Firstname,1234567957,Male,Surname,,15-Feb-2023,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,29-Oct-1996,Y00137,1
13119582,13119582,24,21-Jul-2000,Firstname,1234567958,Male,Surname,,26-Mar-2024,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,27-Jul-2004,,1
13119582,13119582,24,21-Jul-2000,Firstname,1234567959,Male,Surname,,26-Mar-2024,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,27-Jul-2004,C82042,1
13047516,13047516,84,16-May-1940,Firstname,1234567960,Female,Surname,,12-Jan-1994,Influenza Vaccine 1,12345678,30-Oct-2007,E87750,1
15253287,15253287,25,02-Oct-1998,Firstname,1234567961,Male,Surname,,23-Jun-2023,Measles/Mumps/Rubella 1,12345678,26-Mar-2003,K83059,1
15253287,15253287,25,02-Oct-1998,Firstname,1234567962,Male,Surname,,23-Jun-2023,NeisVac-C Single,12345678,12-May-2014,110925,1
14576966,14576966,34,11-Nov-1989,Firstname,1234567963,Female,Surname,,29-Aug-2023,STAMARIL Aventis Pasteur MSD; 1,12345678,31-Jan-2019,E87004,1
16494758,16494758,24,08-Nov-1999,Firstname,1234567964,Female,Surname,,18-Jul-2024,Typhoid 1,12345678,01-Mar-2017,,1
16750181,16750181,25,27-Nov-1998,Firstname,1234567965,Male,Surname,,08-Nov-2021,BCG 1,12345678,19-Apr-1999,J83030,1
16750181,16750181,25,27-Nov-1998,Firstname,1234567966,Male,Surname,,08-Nov-2021,Revaxis 2nd Scheduled Booster,12345678,20-May-2014,J81034,1
33783180,33783180,28,11-May-1996,Firstname,1234567967,Male,Surname,,22-Mar-2024,Measles/Mumps/Rubella 1,12345678,30-Jul-1999,L81025,1
33783180,33783180,28,11-May-1996,Firstname,1234567968,Male,Surname,,22-Mar-2024,Hepatitis A 1,12345678,18-Mar-2011,,1
33783180,33783180,28,11-May-1996,Firstname,1234567969,Male,Surname,,22-Mar-2024,Revaxis 2nd Scheduled Booster,12345678,06-Dec-2017,L81025,1
33945131,33945131,24,20-Sep-1999,Firstname,1234567970,Male,Surname,,08-Nov-2022,Measles/Mumps/Rubella 1,12345678,21-Feb-2001,H82078,1
33945131,33945131,24,20-Sep-1999,Firstname,1234567971,Male,Surname,,08-Nov-2022,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,20-Jan-2004,H82078,1
33945131,33945131,24,20-Sep-1999,Firstname,1234567972,Male,Surname,,08-Nov-2022,Nimenrix 1,12345678,04-Aug-2016,H82078,1
33945131,33945131,24,20-Sep-1999,Firstname,1234567973,Male,Surname,,08-Nov-2022,Revaxis 2nd Scheduled Booster,12345678,13-Oct-2014,H82078,1
34421442,34421442,25,07-Aug-1999,Firstname,1234567974,Female,Surname,,08-Nov-2019,MMRvaxPRO 1st Scheduled Booster,12345678,12-Sep-2013,St Damian's Surgery,1
35810676,35810676,32,04-Apr-1992,Firstname,1234567975,Male,Surname,,25-Jun-2024,Typhoid 1,12345678,28-Mar-2007,,1
35810676,35810676,32,04-Apr-1992,Firstname,1234567976,Male,Surname,,25-Jun-2024,Typhoid 1,12345678,01-Jun-2012,,1
34691643,34691643,86,06-Oct-1937,Firstname,1234567977,Male,Surname,,22-Jul-2024,Influenza Vaccine 1,12345678,24-Oct-2005,E85004,1
34691643,34691643,86,06-Oct-1937,Firstname,1234567978,Male,Surname,,22-Jul-2024,Influenza Vaccine 1,12345678,15-Nov-2007,E85004,1
37633346,37633346,24,26-Sep-1999,Firstname,1234567979,Male,Surname,,24-Mar-2022,Hepatitis A 1,12345678,09-May-2017,,1
42101032,42101032,35,14-Mar-1989,Firstname,1234567980,Female,Surname,,04-Mar-2016,Havrix Mono Junior Monodose 1,12345678,15-Dec-1997,E85018,1
42101032,42101032,35,14-Mar-1989,Firstname,1234567981,Female,Surname,,04-Mar-2016,Boostrix-IPV Booster,12345678,04-Aug-2016,E87750,1
42394060,42394060,54,04-Sep-1970,Firstname,1234567982,Female,Surname,,06-Sep-2013,Hepatitis A 2,12345678,11-Jun-1998,E85681,1
42394060,42394060,54,04-Sep-1970,Firstname,1234567983,Female,Surname,,06-Sep-2013,Influenza Vaccine 1,12345678,18-Nov-2013,E87750,1
44328194,44328194,45,13-Oct-1978,Firstname,1234567984,Female,Surname,,22-May-2024,Influenza Vaccine 1,12345678,13-Oct-2009,E87063,1
44328194,44328194,45,13-Oct-1978,Firstname,1234567985,Female,Surname,,22-May-2024,Influenza Vaccine 1,12345678,18-Nov-2022,E87762,1
44328194,44328194,45,13-Oct-1978,Firstname,1234567986,Female,Surname,,22-May-2024,Cell-based quadrivalent Flu/Vac/SA inj 0.5ml pfs (Seqirus UK Ltd) 1,12345678,27-Sep-2023,E87762,1
44855162,44855162,36,01-Jan-1988,Firstname,1234567987,Male,Surname,,09-Dec-2022,Priorix 1st Scheduled Booster,12345678,04-Jan-2012,A81634,1
43633630,,58,11-Nov-1965,Firstname,1234567988,Male,Surname,,17-Aug-2021,unknown,12345678,,,1
2663484,2663484,42,08-Feb-1982,Firstname,1234567989,Male,Surname,,11-Apr-2012,Hepatitis A 1,12345678,10-Jan-2014,E87750,1
2723897,2723897,27,15-Jun-1997,Firstname,1234567990,Female,Surname,,26-Apr-2021,Typhim VI - Single Dose Single,12345678,15-Dec-2023,E87750,1
2723897,2723897,27,15-Jun-1997,Firstname,1234567991,Female,Surname,,26-Apr-2021,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,27-Jun-2018,,1
2723897,2723897,27,15-Jun-1997,Firstname,1234567992,Female,Surname,,26-Apr-2021,Hepatitis A + Typhoid 1,12345678,12-May-2017,,1
2466415,2466415,23,22-Sep-2000,Firstname,1234567993,Male,Surname,,14-Oct-2022,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,14-Oct-2005,C83078,1
2466415,2466415,23,22-Sep-2000,Firstname,1234567994,Male,Surname,,14-Oct-2022,Nimenrix 1,12345678,14-Dec-2015,C83078,1
1358588,,20,14-Apr-2004,Firstname,1234567995,Male,Surname,,20-Dec-2023,unknown,12345678,,,1
1545002,1545002,32,07-Apr-1992,Firstname,1234567996,Female,Surname,,13-Jun-2014,Repevax Booster,12345678,31-Dec-2013,D81022002,1
1545002,1545002,32,07-Apr-1992,Firstname,1234567997,Female,Surname,,13-Jun-2014,Td/IPV 2nd Scheduled Booster,12345678,21-Mar-2007,E87750,1
1850657,1850657,29,20-Apr-1995,Firstname,1234567998,Female,Surname,,17-Feb-2017,Measles/Mumps/Rubella 1,12345678,01-May-1996,,1
1850657,1850657,29,20-Apr-1995,Firstname,1234567999,Female,Surname,,17-Feb-2017,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,14-Jun-2000,E82643,1
1936118,1936118,63,05-Aug-1961,Firstname,1234568000,Female,Surname,,31-Dec-2010,Quadrivalent influenza vaccine Split Virion inactivated (Sanofi Pasteur) 1,12345678,09-Oct-2019,E87750,1
3360056,3360056,50,08-Mar-1974,Firstname,1234568001,Male,Surname,,14-Jan-2011,BCG 1,12345678,,C87622,1
3532003,3532003,33,16-Nov-1990,Firstname,1234568002,Female,Surname,,13-Sep-2021,Measles/Mumps/Rubella 1,12345678,20-Nov-1991,,1
3532003,3532003,33,16-Nov-1990,Firstname,1234568003,Female,Surname,,13-Sep-2021,BCG 1,12345678,03-Feb-2004,,1
3532003,3532003,33,16-Nov-1990,Firstname,1234568004,Female,Surname,,13-Sep-2021,Cervarix 3,12345678,22-Feb-2010,C81059,1
3532003,3532003,33,16-Nov-1990,Firstname,1234568005,Female,Surname,,13-Sep-2021,Cervarix 1,12345678,21-Aug-2009,C81059,1
10736951,10736951,17,19-Oct-2006,Firstname,1234568006,Male,Surname,,25-Mar-2024,Pneumococcal polysaccharide conjugated vaccine (PCV) 2,12345678,06-Mar-2007,,1
9495002,9495002,43,01-Feb-1981,Firstname,1234568007,Female,Surname,,06-Jan-2014,Measles/Mumps/Rubella 1,12345678,04-Sep-2007,E87750,1
9831258,9831258,25,23-Mar-1999,Firstname,1234568008,Female,Surname,,07-Mar-2023,Human Papillomavirus 3,12345678,21-Mar-2012,5.64E+11,1
11723603,11723603,22,21-Apr-2002,Firstname,1234568009,Female,Surname,,02-Aug-2024,Typhim VI - Single Dose Single,12345678,12-Dec-2022,D81013,1
11620049,11620049,34,23-May-1990,Firstname,1234568010,Male,Surname,,07-Nov-2016,Hepatitis A 1,12345678,02-Jul-1999,B82609,1
12107692,,41,25-Nov-1982,Firstname,1234568011,Female,Surname,,10-Jan-2014,unknown,12345678,,,1
4291003,4291003,28,13-Jan-1996,Firstname,1234568012,Male,Surname,,08-Oct-2019,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,01-Mar-2000,,1
4776545,4776545,27,10-May-1997,Firstname,1234568013,Female,Surname,,14-Apr-2021,Measles/Mumps/Rubella 1,12345678,28-Feb-2003,J83037,1
4776545,4776545,27,10-May-1997,Firstname,1234568014,Female,Surname,,14-Apr-2021,Tick Born Encephalitis 1,12345678,05-May-2005,J83050,1
4776545,4776545,27,10-May-1997,Firstname,1234568015,Female,Surname,,14-Apr-2021,Priorix 1,12345678,29-Apr-2013,J83050,1
4776545,4776545,27,10-May-1997,Firstname,1234568016,Female,Surname,,14-Apr-2021,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,29-Apr-2013,J83050,1
4776545,4776545,27,10-May-1997,Firstname,1234568017,Female,Surname,,14-Apr-2021,DTaP/IPV 1st Scheduled Booster,12345678,28-Feb-2003,J83037,1
6961907,6961907,56,14-Apr-1968,Firstname,1234568018,Female,Surname,,18-Jan-2016,Influenza Tetra MYL vacc inj 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd) 1,12345678,20-Oct-2022,FK827,1
12709787,12709787,31,10-Oct-1992,Firstname,1234568019,Male,Surname,,15-Feb-2023,Heaf Test 1,12345678,29-Oct-1992,C82080,1
13047516,13047516,84,16-May-1940,Firstname,1234568020,Female,Surname,,12-Jan-1994,Influenza Vaccine 1,12345678,20-Oct-2011,E87750,1
14935190,14935190,27,28-Aug-1997,Firstname,1234568021,Female,Surname,,04-Sep-2023,Cervarix 2,12345678,04-Nov-2009,,1
15253287,15253287,25,02-Oct-1998,Firstname,1234568022,Male,Surname,,23-Jun-2023,Quadrivalent influenza vaccine Split Virion inactivated (Sanofi Pasteur) 1,12345678,29-Nov-2019,D81002,1
14576966,14576966,34,11-Nov-1989,Firstname,1234568023,Female,Surname,,29-Aug-2023,Hepatitis A 1,12345678,13-Jul-2000,J82081,1
14576966,14576966,34,11-Nov-1989,Firstname,1234568024,Female,Surname,,29-Aug-2023,Hepatitis A 2,12345678,17-Jan-2001,J82081,1
14576966,14576966,34,11-Nov-1989,Firstname,1234568025,Female,Surname,,29-Aug-2023,Revaxis 1st Scheduled Booster,12345678,08-Jan-2019,E87004,1
16494758,16494758,24,08-Nov-1999,Firstname,1234568026,Female,Surname,,18-Jul-2024,Human Papillomavirus 3,12345678,29-Apr-2013,,1
16494758,16494758,24,08-Nov-1999,Firstname,1234568027,Female,Surname,,18-Jul-2024,Human Papillomavirus 1,12345678,01-Nov-2012,,1
16750181,16750181,25,27-Nov-1998,Firstname,1234568028,Male,Surname,,08-Nov-2021,Hepatitis A 2,12345678,02-Jul-2012,J83030,1
33783180,33783180,28,11-May-1996,Firstname,1234568029,Male,Surname,,22-Mar-2024,BCG 1,12345678,,,1
34227378,,27,27-Sep-1996,Firstname,1234568030,Male,Surname,,12-Jun-2023,unknown,12345678,,,1
34421442,34421442,25,07-Aug-1999,Firstname,1234568031,Female,Surname,,08-Nov-2019,dTaP/IPV 1st Scheduled Booster,12345678,31-Dec-2004,J83030,1
35810676,35810676,32,04-Apr-1992,Firstname,1234568032,Male,Surname,,25-Jun-2024,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,11-Feb-2003,,1
35810676,35810676,32,04-Apr-1992,Firstname,1234568033,Male,Surname,,25-Jun-2024,Td/IPV 1st Scheduled Booster,12345678,21-Feb-2002,,1
36293545,36293545,43,17-Sep-1980,Firstname,1234568034,Female,Surname,,19-Aug-2024,Boostrix-IPV Booster,12345678,14-Sep-2016,E85003,1
36535697,,45,23-Sep-1978,Firstname,1234568035,Male,Surname,,19-Aug-2013,unknown,12345678,,,1
34691643,34691643,86,06-Oct-1937,Firstname,1234568036,Male,Surname,,22-Jul-2024,Influenza Vaccine 1,12345678,11-Dec-2006,E85004,1
567215,567215,43,20-Aug-1981,Firstname,1234568037,Male,Surname,,20-Sep-2018,Typhim VI - Single Dose Single,12345678,16-Mar-2015,E87649,1
1850657,1850657,29,20-Apr-1995,Firstname,1234568038,Female,Surname,,17-Feb-2017,Measles/Mumps/Rubella 1,12345678,30-May-1996,E82643,1
1874833,,49,03-Aug-1975,Firstname,1234568039,Male,Surname,,14-May-2007,unknown,12345678,,,1
1936118,1936118,63,05-Aug-1961,Firstname,1234568040,Female,Surname,,31-Dec-2010,Influenza Vaccine 1,12345678,15-Jan-2007,C88069,1
10736951,10736951,17,19-Oct-2006,Firstname,1234568041,Male,Surname,,25-Mar-2024,Hepatitis A 1,12345678,14-Aug-2009,,1
10736951,10736951,17,19-Oct-2006,Firstname,1234568042,Male,Surname,,25-Mar-2024,Td/IPV 1,12345678,19-Oct-2019,,1
10032637,10032637,24,07-Sep-1999,Firstname,1234568043,Female,Surname,,03-Mar-2023,Td/IPV 2nd Scheduled Booster,12345678,20-Mar-2014,4.93E+11,1
9831258,9831258,25,23-Mar-1999,Firstname,1234568044,Female,Surname,,07-Mar-2023,Nimenrix 1,12345678,30-Dec-2015,C83011,1
9831258,9831258,25,23-Mar-1999,Firstname,1234568045,Female,Surname,,07-Mar-2023,Human Papillomavirus 2,12345678,17-Oct-2011,5.64E+11,1
11723603,11723603,22,21-Apr-2002,Firstname,1234568046,Female,Surname,,02-Aug-2024,Rabies Vaccine 2,12345678,28-Apr-2017,,1
11723603,11723603,22,21-Apr-2002,Firstname,1234568047,Female,Surname,,02-Aug-2024,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,04-May-2006,,1
11723603,11723603,22,21-Apr-2002,Firstname,1234568048,Female,Surname,,02-Aug-2024,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,04-May-2006,D81028,1
11723603,11723603,22,21-Apr-2002,Firstname,1234568049,Female,Surname,,02-Aug-2024,Human Papillomavirus 1,12345678,08-Jun-2015,,1
11620049,11620049,34,23-May-1990,Firstname,1234568050,Male,Surname,,07-Nov-2016,Measles/Mumps/Rubella 1,12345678,06-Sep-1991,B82609,1
4457397,4457397,32,22-Mar-1992,Firstname,1234568051,Male,Surname,,07-Sep-2022,Measles/Mumps/Rubella 1,12345678,23-Apr-1993,A83037,1
6961907,6961907,56,14-Apr-1968,Firstname,1234568052,Female,Surname,,18-Jan-2016,Measles/Mumps/Rubella 1,12345678,11-Feb-2010,E87750,1
6961907,6961907,56,14-Apr-1968,Firstname,1234568053,Female,Surname,,18-Jan-2016,Hepatitis A 1,12345678,01-Mar-1999,E87750,1
12709787,12709787,31,10-Oct-1992,Firstname,1234568054,Male,Surname,,15-Feb-2023,Measles/Mumps/Rubella 1,12345678,12-Oct-1993,Y00137,1
12709787,12709787,31,10-Oct-1992,Firstname,1234568055,Male,Surname,,15-Feb-2023,Twinrix Paediatric 3,12345678,13-Feb-2007,Y00137,1
12837234,12837234,25,30-Sep-1998,Firstname,1234568056,Female,Surname,,14-Apr-2023,Cervarix 1,12345678,10-Jan-2012,136530,1
13119582,13119582,24,21-Jul-2000,Firstname,1234568057,Male,Surname,,26-Mar-2024,Nimenrix 1,12345678,25-Jan-2016,5.87E+11,1
13119582,13119582,24,21-Jul-2000,Firstname,1234568058,Male,Surname,,26-Mar-2024,Revaxis 2nd Scheduled Booster,12345678,05-Aug-2015,C82042,1
13047516,13047516,84,16-May-1940,Firstname,1234568059,Female,Surname,,12-Jan-1994,Typhoid 1,12345678,30-Jul-2003,E87750,1
13047516,13047516,84,16-May-1940,Firstname,1234568060,Female,Surname,,12-Jan-1994,Influenza Vaccine 1,12345678,13-Oct-2009,E87750,1
13047516,13047516,84,16-May-1940,Firstname,1234568061,Female,Surname,,12-Jan-1994,Influenza Vaccine 1,12345678,24-Oct-2013,E87750,1
13047516,13047516,84,16-May-1940,Firstname,1234568062,Female,Surname,,12-Jan-1994,Influenza Vaccine 1,12345678,21-Sep-2015,E87750,1
13047516,13047516,84,16-May-1940,Firstname,1234568063,Female,Surname,,12-Jan-1994,"Adjuvanted quadrivalent flu vacc (SA, inact) inj 0.5ml pfs (Seqirus UK Ltd) 1",12345678,27-Sep-2022,E87750,1
13532669,13532669,30,01-Jul-1994,Firstname,1234568064,Female,Surname,,08-Mar-2021,Human Papillomavirus 3,12345678,16-Mar-2010,,1
14389163,14389163,39,23-Apr-1985,Firstname,1234568065,Female,Surname,,18-Mar-2014,Yellow Fever Single,12345678,24-Jan-2012,E87750,1
16494758,16494758,24,08-Nov-1999,Firstname,1234568066,Female,Surname,,18-Jul-2024,Human Papillomavirus 2,12345678,03-Dec-2012,,1
